data_source_id,procedure_code_id_source,procedure_code_category_id_reference
1,1002427|~|2,1
1,1002428|~|2,1
1,1002429|~|2,1
1,625|~|2,1
1,63|~|2,1
1,1002430|~|2,1
1,1000134|~|2,1
1,64|~|2,1
1,65|~|2,1
1,66|~|2,1
1,67|~|2,1
1,1003088|~|2,1
1,1000515|~|2,1
1,1001067|~|2,1
1,1002183|~|2,1
1,1002209|~|2,1
1,1002565|~|2,1
1,68|~|2,1
1,1000516|~|2,1
1,1001068|~|2,1
1,1001314|~|2,1
1,1002823|~|2,1
1,1002824|~|2,1
1,1002825|~|2,1
1,1002826|~|2,1
1,1002827|~|2,1
1,1002828|~|2,1
1,1002829|~|2,1
1,69|~|2,1
1,1001661|~|2,1
1,1002830|~|2,1
1,1002831|~|2,1
1,70|~|2,1
1,1000518|~|2,1
1,1001070|~|2,1
1,1001316|~|2,1
1,1004908|~|2,1
1,1000350|~|2,1
1,1002210|~|2,1
1,1001662|~|2,1
1,1000015|~|2,1
1,1000016|~|2,1
1,1000017|~|2,1
1,1000018|~|2,1
1,1000523|~|2,1
1,71|~|2,1
1,72|~|2,1
1,73|~|2,1
1,1000135|~|2,1
1,1002431|~|2,1
1,1000019|~|2,1
1,1001080|~|2,1
1,1006|~|2,1
1,554|~|2,1
1,1002432|~|2,1
1,1001081|~|2,1
1,1003619|~|2,1
1,1002433|~|2,1
1,1004764|~|2,1
1,1002434|~|2,1
1,1003621|~|2,1
1,1003622|~|2,1
1,1002435|~|2,1
1,1002436|~|2,1
1,128|~|2,1
1,1001082|~|2,1
1,1005014|~|2,1
1,1000136|~|2,1
1,1001083|~|2,1
1,129|~|2,1
1,1004003|~|2,1
1,1001084|~|2,1
1,1000205|~|2,1
1,1005015|~|2,1
1,1001589|~|2,1
1,358|~|2,1
1,130|~|2,1
1,1003923|~|2,1
1,1001086|~|2,1
1,131|~|2,1
1,1003924|~|2,1
1,1001087|~|2,1
1,132|~|2,1
1,1001088|~|2,1
1,416|~|2,1
1,1000137|~|2,1
1,133|~|2,1
1,1004376|~|2,1
1,1004762|~|2,1
1,1001091|~|2,1
1,555|~|2,1
1,1001092|~|2,1
1,556|~|2,1
1,134|~|2,1
1,1004761|~|2,1
1,1001094|~|2,1
1,135|~|2,1
1,136|~|2,1
1,1001096|~|2,1
1,1000020|~|2,1
1,138|~|2,1
1,1001098|~|2,1
1,476|~|2,1
1,1001099|~|2,1
1,710|~|2,1
1,1002437|~|2,1
1,1000021|~|2,1
1,139|~|2,1
1,1000532|~|2,1
1,1001101|~|2,1
1,1001330|~|2,1
1,388|~|2,1
1,387|~|2,1
1,1000534|~|2,1
1,1001103|~|2,1
1,1001332|~|2,1
1,1002438|~|2,1
1,1005016|~|2,1
1,1002439|~|2,1
1,1004759|~|2,1
1,1004758|~|2,1
1,359|~|2,1
1,1001104|~|2,1
1,1002832|~|2,1
1,1000138|~|2,1
1,1002211|~|2,1
1,1000139|~|2,1
1,1001899|~|2,1
1,141|~|2,1
1,1004756|~|2,1
1,1001106|~|2,1
1,360|~|2,1
1,368|~|2,1
1,369|~|2,1
1,1001109|~|2,1
1,1004755|~|2,1
1,1004754|~|2,1
1,1002771|~|2,1
1,533|~|2,1
1,1004491|~|2,1
1,1001905|~|2,1
1,1004753|~|2,1
1,1004752|~|2,1
1,650|~|2,1
1,651|~|2,1
1,1004751|~|2,1
1,668|~|2,1
1,653|~|2,1
1,142|~|2,1
1,1001111|~|2,1
1,1004750|~|2,1
1,1003044|~|2,1
1,923|~|2,1
1,1005017|~|2,1
1,1004749|~|2,1
1,1000663|~|2,1
1,143|~|2,1
1,1000664|~|2,1
1,144|~|2,1
1,1000665|~|2,1
1,145|~|2,1
1,1003925|~|2,1
1,1000666|~|2,1
1,1000022|~|2,1
1,1000667|~|2,1
1,1000162|~|2,1
1,1003324|~|2,1
1,1003325|~|2,1
1,1003326|~|2,1
1,1003623|~|2,1
1,1003625|~|2,1
1,477|~|2,1
1,1000669|~|2,1
1,478|~|2,1
1,1000670|~|2,1
1,1100|~|2,1
1,615|~|2,1
1,1000671|~|2,1
1,75|~|2,1
1,1000672|~|2,1
1,1002833|~|2,1
1,1002834|~|2,1
1,1000673|~|2,1
1,76|~|2,1
1,1000674|~|2,1
1,77|~|2,1
1,1000676|~|2,1
1,1003039|~|2,1
1,1002835|~|2,1
1,1000023|~|2,1
1,1000677|~|2,1
1,1000024|~|2,1
1,1000678|~|2,1
